class,sl3,sl6,sl12,sl20,sl30,sl60,sl90
0,-0.005793232581534507,-0.003916991191361217,-0.0028507789996330044,-0.0019282821641174862,-0.001950824551111369,-0.0010547138951257239,-0.0007031425967504826
1,-0.012062115751714994,-0.006186799289350995,-0.004544835921556783,-0.002816741402714931,-0.0025096433697348913,-0.001391635519629796,-0.0009277570130865306
1,-0.008297918476649466,-0.005883620637805683,-0.0043038819402980875,-0.00248087999529388,-0.002408459904280215,-0.0013747896984207025,-0.0009165264656138017
1,-0.0053326907435896935,-0.005516621385917583,-0.0033409591914569047,-0.00223846647688999,-0.0025087067222965497,-0.0013044750432281915,-0.0008696500288187943
1,0.003931897969492397,-0.004136249403759224,-0.003036672077035355,-0.002125875711818776,-0.002194381924154819,-0.001211455927776894,-0.0008076372851845959
1,0.006019101475328582,-0.0012143275206778776,-0.0020348495747047014,-0.0018921734753125947,-0.002226026275304991,-0.0011952073727480711,-0.0007324397471735769
1,0.004449934733878441,-0.00047697319350302426,-0.00219137729303972,-0.0018006175489952362,-0.0020198905340699804,-0.0012202218675833496,-0.0007329285286315237
1,0.0034121653810758883,0.003692156104484279,-0.0013158494787235467,-0.0018847069901641947,-0.0019631211711724555,-0.0011906323779191832,-0.0007021658151036519
0,0.0018662306644772473,0.003959515617521702,-0.0010319413735508846,-0.0015767992964675934,-0.0016892426240378516,-0.001014938535048487,-0.0006743327629058405
0,0.0025563894697220313,0.003520225751242192,-0.0010564570753253772,-0.0014529884717291858,-0.0015479382192595927,-0.0008828945624469041,-0.0006533364986254135
0,0.0026895607826888726,0.003064628921171866,-0.0005738384499375001,-0.0011946389151389221,-0.0010239058926705064,-0.0008710421436217227,-0.0006181793419317656
0,0.000374272471828571,0.0011212992862986034,-5.059899093644363e-05,-0.0010343258581235698,-0.001058824132730015,-0.0008801445847730872,-0.0006626141664149114
0,-0.0004513439521689079,0.0010507920423867406,0.0002854058255333639,-0.0011667199149111818,-0.0008800661848770763,-0.000945975376699742,-0.0006674966585988864
0,-0.0009462205513497556,0.0008678527391395318,0.0022896171651777277,-0.0008238849043898828,-0.0008030860061866283,-0.0008817680294659297,-0.0006479652249834903
0,-0.00042058292838428006,-2.3391347196177417e-05,0.0019677842799491483,-0.0010468187696848976,-0.0010088631528376059,-0.0009792260018894026,-0.000675797544741555
1,-0.0023377594366523415,-0.0013929689940355863,0.0010489176826328445,-0.0009718802986634715,-0.0012871001532370585,-0.001041068442918826,-0.0007407406333162441
1,-0.0018044987950555523,-0.0013727984924355027,0.0008332938604796048,-0.0007624071320802812,-0.0011127239256057816,-0.0010259805247796146,-0.0007046074274155135
1,-0.001091840932527455,-0.0007555231159707691,0.00018034658257175674,-0.000901254618304023,-0.0012805478581819933,-0.000989873972169693,-0.0007099786522281191
1,0.0020874563968486253,-0.00013247147623735793,0.0004587426831554711,-0.0006169696687085345,-0.0010557302665784216,-0.0009383555304756305,-0.000675797544741555
1,0.0004848567431069483,-0.0006611334110873685,0.00010163836470083512,-0.00015879874756527954,-0.0010804861327969963,-0.0010108133133414317,-0.0006894704369658923
0,0.004929360239645066,0.0019106865376375788,0.0009435135146241458,0.0007060778993031533,-0.000604132047655958,-0.0007538273167975441,-0.0005561658658578204
1,0.002074440373148615,0.0020874438407388353,0.0003385141897108052,0.0015559793590604757,-0.0005278424103737591,-0.0008488546281032043,-0.0006108552374359276
0,0.00367022142634534,0.0020802083821370326,0.0003451378240579167,0.0016764057940243597,-0.0004886076878257515,-0.0006999945088203427,-0.0005747212502661326
0,-0.0008172942730576794,0.002049989876453143,0.0006425869360236877,0.001404119352433508,-0.00034271049271072224,-0.0005890330928989381,-0.0005820453547619692
1,-0.000558035732450961,0.0007564659025692433,0.000311696582701433,0.0008696265785893204,-0.0005497535300978274,-0.0007183725385473514,-0.0006284337913680942
0,0.0,0.00183511071317267,0.0005833488920260821,0.0007598202668573945,-0.00012465903549857551,-0.0006402254330422717,-0.0005747212502661326
0,0.0010357216597322073,0.00010794395926579254,0.001009933989661051,0.0008845417624531478,-1.848181023147851e-05,-0.0007343734494004485,-0.0005493298103801826
1,0.0,-0.0002790178662254805,0.000902465684877752,0.0003541762476349987,-0.00034421369178388626,-0.0008144679498710333,-0.0006284337913680942
0,0.0013285136156973552,0.0006642568078486776,0.0013763779727315904,0.0006783928914009318,4.005206796564184e-05,-0.0006463162811034059,-0.0005327280380948482
0,-0.0011249745567502372,-4.637418928162566e-05,0.0010015226437300906,0.00032684526616095203,0.000227298428094755,-0.0007529784603272626,-0.0005849750160920308
1,-0.0006831687695586357,-0.00034158438477931787,0.0002066655680751558,-0.00015123877402968214,0.00017046071321963132,-0.000895170003111101,-0.0006499181046667213
0,-0.0010001138647838719,0.00016220687812682212,0.0009995517983891484,0.00046967217440269435,0.0011891635727603726,-0.0007050055456258842,-0.000564466800829804
0,0.0024895021690099837,0.0006780628662312072,0.0003932229911197362,0.0007714578087839451,0.0013411236772733184,-0.0005821187525543525,-0.000506360500172498
0,0.0024583052699860414,0.0008850490941339589,0.00030227478042498906,0.0003593447842045212,0.0009662760012489443,-0.0008075769070227085,-0.0005727676869724713
1,-0.003966243715768243,-0.0024772287472791797,-0.000911422517895187,-6.785105762501748e-05,0.0003807091381303192,-0.0009193677117783561,-0.0006899584859840924
1,-0.005786274244884072,-0.0016699934513617328,-0.0008579514865444416,0.00024248963550028524,0.00013487038153558352,-0.001050081322080583,-0.0007550720828077197
